Matrix,np,mode,lower_bound_frac,total_s,compute_s,comm_s,GFlops,Y-norm
ash608,4,balanced,1.00,0.013698,0.000254,0.008621,0.0956,4.931531202375e+01
bcsstk16,4,balanced,1.00,0.015953,0.001398,0.008940,4.1553,1.049579997047e+10
bcsstk16,4,naive,1.00,0.003155,0.001001,0.001546,5.8042,1.049579997047e+10
bcsstk17,4,balanced,1.00,0.020824,0.002339,0.011993,3.6656,9.462389383310e+09
bcsstk17,4,naive,1.00,0.005084,0.001334,0.004093,6.4248,9.462389383310e+09
bcsstk30,4,balanced,1.00,0.068804,0.013476,0.022428,3.0328,1.317123426259e+04
bcsstk30,4,naive,1.00,0.033081,0.010545,0.027637,3.8758,1.317123426259e+04
cant,4,balanced,1.00,0.248133,0.073978,0.100852,1.0834,4.170292046439e+04
cant,4,naive,1.00,0.066611,0.019056,0.050896,4.2060,4.170292046439e+04
ecology1,4,balanced,1.00,0.448122,0.188378,0.155664,0.5304,1.310066932520e-13
ecology1,4,naive,1.00,0.186195,0.049754,0.146299,2.0083,1.309530530074e-13
