Matrix,np,y_balanced,y_naive,rel_diff
bcsstk16,4,1.049579997047e+10,1.049579997047e+10,0
cant_frac0.8,4,4.170292046439e+04,,NA
cant_r2_frac0p5,4,4.170292046439e+04,4.170292046439e+04,0
cant_r2_frac0p5,1,4.170292046439e+04,4.170292046439e+04,0
cant_r2_frac0p5,2,4.170292046439e+04,,NA
cant,4,4.170292046439e+04,4.170292046439e+04,0
ecology1,2,1.309715002014e-13,,NA
ecology1,1,1.309715002014e-13,,NA
ecology1,4,1.310066932520e-13,1.309530530074e-13,4.094e-04
cant_r3_frac0p5,1,4.170292046439e+04,4.170292046439e+04,0
cant_r3_frac0p5,2,4.170292046439e+04,4.170292046439e+04,0
cant_r3_frac0p5,4,,4.170292046439e+04,NA
ash608,4,4.931531202375e+01,,NA
bcsstk17,4,9.462389383310e+09,9.462389383310e+09,0
cant_test,4,4.170292046439e+04,,NA
bcsstk30,4,1.317123426259e+04,1.317123426259e+04,0
cant_r1_frac0p5,4,,4.170292046439e+04,NA
cant_r1_frac0p5,2,4.170292046439e+04,4.170292046439e+04,0
cant_r1_frac0p5,1,4.170292046439e+04,4.170292046439e+04,0
