matrix,np,threads,mode,total_time,compute_time,comm_time,gflops,log
arc130,2,1,naive,0.000026,0.000010,0.000016,1.3185,results/arc130_naive_np2_t1.log
arc130,2,1,metis,0.000652,0.000012,0.000638,1.0362,results/arc130_metis_np2_t1.log
arc130,2,1,balanced,0.000105,0.000022,0.000026,0.5841,results/arc130_balanced_np2_t1.log
ash292,2,1,naive,0.000038,0.000017,0.000019,1.2652,results/ash292_naive_np2_t1.log
ash292,2,1,metis,0.000028,0.000012,0.000015,1.8666,results/ash292_metis_np2_t1.log
ash292,2,1,balanced,0.000061,0.000019,0.000013,1.1450,results/ash292_balanced_np2_t1.log
ash331,2,1,naive,0.000032,0.000010,0.000020,0.6451,results/ash331_naive_np2_t1.log
ash331,2,1,metis,0.000066,0.000049,0.000022,0.1347,results/ash331_metis_np2_t1.log
ash331,2,1,balanced,0.000047,0.000011,0.000019,0.5836,results/ash331_balanced_np2_t1.log
ash608,2,1,naive,0.003737,0.000010,0.003728,1.1756,results/ash608_naive_np2_t1.log
ash608,2,1,metis,0.000195,0.000089,0.000107,0.1367,results/ash608_metis_np2_t1.log
ash608,2,1,balanced,0.000053,0.000016,0.000014,0.7756,results/ash608_balanced_np2_t1.log
ash958,2,1,naive,0.000028,0.000013,0.000015,1.4908,results/ash958_naive_np2_t1.log
ash958,2,1,metis,0.000150,0.000018,0.000130,1.0733,results/ash958_metis_np2_t1.log
ash958,2,1,balanced,0.000057,0.000017,0.000016,1.1197,results/ash958_balanced_np2_t1.log
bcsstk01,2,1,naive,0.000036,0.000011,0.000023,0.3522,results/bcsstk01_naive_np2_t1.log
bcsstk01,2,1,metis,0.000205,0.000016,0.000195,0.2450,results/bcsstk01_metis_np2_t1.log
bcsstk01,2,1,balanced,0.000068,0.000014,0.000028,0.2821,results/bcsstk01_balanced_np2_t1.log
bcsstk08,2,1,naive,0.000088,0.000037,0.000051,3.5297,results/bcsstk08_naive_np2_t1.log
bcsstk08,2,1,metis,0.004524,0.000041,0.004487,3.1255,results/bcsstk08_metis_np2_t1.log
bcsstk08,2,1,balanced,0.000390,0.000104,0.000021,1.2458,results/bcsstk08_balanced_np2_t1.log
bcsstk10,2,1,naive,0.000117,0.000045,0.000070,4.8827,results/bcsstk10_naive_np2_t1.log
bcsstk10,2,1,metis,0.001391,0.000050,0.001339,4.4314,results/bcsstk10_metis_np2_t1.log
bcsstk10,2,1,balanced,0.000197,0.000094,0.000021,2.3509,results/bcsstk10_balanced_np2_t1.log
bcsstk13,2,1,naive,0.001584,0.000212,0.001464,3.9604,results/bcsstk13_naive_np2_t1.log
bcsstk13,2,1,metis,0.030609,0.000197,0.030415,4.2514,results/bcsstk13_metis_np2_t1.log
bcsstk13,2,1,balanced,0.001083,0.000352,0.000077,2.3864,results/bcsstk13_balanced_np2_t1.log
bcsstk16,2,1,naive,0.001775,0.000753,0.001018,3.8560,results/bcsstk16_naive_np2_t1.log
bcsstk16,2,1,metis,0.032334,0.006785,0.023816,0.4280,results/bcsstk16_metis_np2_t1.log
bcsstk16,2,1,balanced,0.009574,0.001044,0.000111,2.7808,results/bcsstk16_balanced_np2_t1.log
bcsstk17,2,1,naive,0.007587,0.001468,0.000526,2.9206,results/bcsstk17_naive_np2_t1.log
bcsstk17,2,1,metis,0.001129,0.000693,0.000433,6.1870,results/bcsstk17_metis_np2_t1.log
bcsstk17,2,1,balanced,0.010099,0.008727,0.000127,0.4912,results/bcsstk17_balanced_np2_t1.log
bcsstk30,2,1,naive,0.013153,0.012757,0.007410,1.6018,results/bcsstk30_naive_np2_t1.log
bcsstk30,2,1,metis,0.014964,0.014409,0.003378,1.4182,results/bcsstk30_metis_np2_t1.log
bcsstk30,2,1,balanced,0.022328,0.012276,0.003279,1.6647,results/bcsstk30_balanced_np2_t1.log
bcsstk31,2,1,naive,0.017244,0.012688,0.011368,0.9311,results/bcsstk31_naive_np2_t1.log
bcsstk31,2,1,metis,0.003633,0.003397,0.000625,3.4782,results/bcsstk31_metis_np2_t1.log
bcsstk31,2,1,balanced,0.033131,0.011746,0.023290,1.0058,results/bcsstk31_balanced_np2_t1.log
1138_bus,2,1,naive,0.000136,0.000026,0.000108,1.5547,results/1138_bus_naive_np2_t1.log
1138_bus,2,1,metis,0.000068,0.000025,0.000043,1.6104,results/1138_bus_metis_np2_t1.log
1138_bus,2,1,balanced,0.000223,0.000075,0.000028,0.5379,results/1138_bus_balanced_np2_t1.log
494_bus,2,1,naive,0.000026,0.000012,0.000014,1.3721,results/494_bus_naive_np2_t1.log
494_bus,2,1,metis,0.000524,0.000051,0.000501,0.3279,results/494_bus_metis_np2_t1.log
494_bus,2,1,balanced,0.000108,0.000031,0.000018,0.5372,results/494_bus_balanced_np2_t1.log
bcspwr06,2,1,naive,0.000081,0.000034,0.000046,1.5562,results/bcspwr06_naive_np2_t1.log
bcspwr06,2,1,metis,0.000077,0.000032,0.000049,1.6747,results/bcspwr06_metis_np2_t1.log
bcspwr06,2,1,balanced,0.000195,0.000072,0.000021,0.7334,results/bcspwr06_balanced_np2_t1.log
bcspwr08,2,1,naive,0.000099,0.000034,0.000064,1.7888,results/bcspwr08_naive_np2_t1.log
bcspwr08,2,1,metis,0.000075,0.000031,0.000042,1.9562,results/bcspwr08_metis_np2_t1.log
bcspwr08,2,1,balanced,0.000186,0.000072,0.000020,0.8418,results/bcspwr08_balanced_np2_t1.log
bcspwr10,2,1,naive,0.000232,0.000160,0.000150,1.3644,results/bcspwr10_naive_np2_t1.log
bcspwr10,2,1,metis,0.005919,0.000083,0.005834,2.6332,results/bcspwr10_metis_np2_t1.log
bcspwr10,2,1,balanced,0.005996,0.000373,0.001930,0.5852,results/bcspwr10_balanced_np2_t1.log
cavity10,2,1,naive,NA,NA,NA,NA,results/cavity10_naive_np2_t1.log
cavity10,2,1,metis,NA,NA,NA,NA,results/cavity10_metis_np2_t1.log
cavity10,2,1,balanced,NA,NA,NA,NA,results/cavity10_balanced_np2_t1.log
cavity15,2,1,naive,NA,NA,NA,NA,results/cavity15_naive_np2_t1.log
cavity15,2,1,metis,NA,NA,NA,NA,results/cavity15_metis_np2_t1.log
cavity15,2,1,balanced,NA,NA,NA,NA,results/cavity15_balanced_np2_t1.log
