matrix,np,threads,mode,total_time,compute_time,comm_time,gflops,log
arc130,1,1,naive,0.000021,0.000015,0.000006,0.8812,results/arc130_naive_np1_t1.log
arc130,1,1,metis,NA,NA,NA,NA,results/arc130_metis_np1_t1.log
arc130,1,1,balanced,0.000026,0.000017,0.000001,0.7349,results/arc130_balanced_np1_t1.log
arc130,1,2,naive,0.000142,0.000137,0.000003,0.0933,results/arc130_naive_np1_t2.log
arc130,1,2,metis,NA,NA,NA,NA,results/arc130_metis_np1_t2.log
arc130,1,2,balanced,0.000213,0.000204,0.000002,0.0629,results/arc130_balanced_np1_t2.log
arc130,1,4,naive,0.000259,0.000255,0.000003,0.0503,results/arc130_naive_np1_t4.log
arc130,1,4,metis,NA,NA,NA,NA,results/arc130_metis_np1_t4.log
arc130,1,4,balanced,0.000522,0.000511,0.000002,0.0251,results/arc130_balanced_np1_t4.log
arc130,2,1,naive,0.000036,0.000014,0.000022,0.9268,results/arc130_naive_np2_t1.log
arc130,2,1,metis,0.000460,0.000029,0.000428,0.4366,results/arc130_metis_np2_t1.log
arc130,2,1,balanced,0.000077,0.000016,0.000020,0.7819,results/arc130_balanced_np2_t1.log
arc130,2,2,naive,0.000135,0.000121,0.000017,0.1056,results/arc130_naive_np2_t2.log
arc130,2,2,metis,0.000319,0.000301,0.000195,0.0426,results/arc130_metis_np2_t2.log
arc130,2,2,balanced,0.000578,0.000411,0.000061,0.0312,results/arc130_balanced_np2_t2.log
arc130,2,4,naive,0.000621,0.000594,0.000257,0.0216,results/arc130_naive_np2_t4.log
arc130,2,4,metis,0.000807,0.000457,0.000348,0.0280,results/arc130_metis_np2_t4.log
arc130,2,4,balanced,0.000556,0.000478,0.000043,0.0268,results/arc130_balanced_np2_t4.log
arc130,4,1,naive,NA,NA,NA,NA,results/arc130_naive_np4_t1.log
arc130,4,1,metis,NA,NA,NA,NA,results/arc130_metis_np4_t1.log
arc130,4,1,balanced,NA,NA,NA,NA,results/arc130_balanced_np4_t1.log
arc130,4,2,naive,NA,NA,NA,NA,results/arc130_naive_np4_t2.log
arc130,4,2,metis,NA,NA,NA,NA,results/arc130_metis_np4_t2.log
arc130,4,2,balanced,NA,NA,NA,NA,results/arc130_balanced_np4_t2.log
arc130,4,4,naive,NA,NA,NA,NA,results/arc130_naive_np4_t4.log
arc130,4,4,metis,NA,NA,NA,NA,results/arc130_metis_np4_t4.log
