Matrix,Algorithm,np,GFlops,TotalTime,ComputeTime,CommTime,Ynorm
cant.mtx,naive,1,2.0158,0.403658,0.397594,0.005979,4.170292046439e+04
cant.mtx,naive,2,2.4199,0.382405,0.331197,0.155439,4.170292046439e+04
cant.mtx,metis_naive,1,1.5471,0.523295,0.518036,0.005187,4.170292046439e+04
cant.mtx,metis_naive,2,2.1727,0.466085,0.368881,0.136059,4.170292046439e+04
cant.mtx,balanced,1,1.7081,0.472255,0.469214,0.000214,4.170292046439e+04
cant.mtx,balanced,2,2.0483,0.466075,0.391285,0.110011,4.170292046439e+04
ecology1.mtx,naive,1,1.4797,0.771624,0.675290,0.096202,1.309715002014e-13
ecology1.mtx,naive,2,1.8584,0.790517,0.537668,0.270876,1.309715002014e-13
ecology1.mtx,metis_naive,1,1.5282,0.753295,0.653834,0.099328,1.309715002014e-13
ecology1.mtx,metis_naive,2,1.6114,0.985420,0.620078,0.433109,1.309715002014e-13
ecology1.mtx,balanced,1,1.4292,0.703384,0.699143,0.000217,1.309715002014e-13
ecology1.mtx,balanced,2,1.9225,0.597583,0.519749,0.072321,1.309715002014e-13
bcsstk30.mtx,naive,1,1.4521,0.283969,0.281450,0.002455,1.317123426259e+04
bcsstk30.mtx,naive,2,1.9450,0.266407,0.210129,0.081945,1.317123426259e+04
bcsstk30.mtx,metis_naive,1,1.4931,0.276264,0.273734,0.002445,1.317123426259e+04
bcsstk30.mtx,metis_naive,2,2.7920,0.183390,0.146380,0.040710,1.317123426259e+04
bcsstk30.mtx,balanced,1,1.2211,0.336243,0.334706,0.000168,1.317123426259e+04
bcsstk30.mtx,balanced,2,2.2946,0.235544,0.178112,0.056756,1.317123426259e+04
